state_1,price_1,load_1,month_1,year_1,coal_cost_1,CDD_1,HDD_1,date_1,state_2,price_2,load_2,month_2,year_2,coal_cost_2,CDD_2,HDD_2,date_2,ln_load_rel,ln_price_rel,ln_coal_rel,time_diff
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.10471155283216262,1325.0,12,2017,98.77073681064117,0.0,259.0,12/2017,0.1734775319975019,0.1141783050886679,-0.8598098482123322,-77.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.1083156681170739,1261.0,2,2018,35.311837554390266,0.0,233.0,2/2018,0.22298493445290488,0.08033794228379078,0.1687732773335962,-79.0
iowa,0.11737662231986654,1576.0,7,2011,41.803979006468936,403.0,0.0,7/2011,iowa,0.11197844066536568,1202.0,3,2018,38.10054827618251,0.0,926.0,3/2018,0.2709031553226715,0.04708140040791231,0.09276285406250416,-80.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.11455532443813098,1780.0,8,2011,46.2990208513013,507.0,0.0,8/2011,0.07935102512823553,0.00508168164468125,-0.11461567705728992,-1.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.10688414973912164,825.0,10,2011,41.51765361430525,24.0,231.0,10/2011,0.8483362820796855,0.07439403562291463,-0.005613589189994088,-3.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.10757764474265741,957.0,2,2012,32.534452971192096,0.0,744.0,2/2012,0.6999162769614121,0.0679267072821619,0.23820551663435083,-7.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.11164178506703515,776.0,4,2012,37.31739308922332,40.0,179.0,4/2012,0.9095671482311477,0.030844172775876994,0.10104561526660703,-9.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.1153160293243511,859.0,4,2013,61.977412324152965,0.0,468.0,4/2013,0.8079507464301111,-0.0015368695638164893,-0.4062648654218109,-21.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.1073660124966998,1393.0,1,2014,31.544877624258067,0.0,1121.0,1/2014,0.32450469463456066,0.06989589601806595,0.26909391747815714,-30.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.1233390119250426,757.0,4,2014,52.04185933317109,10.0,320.0,4/2014,0.9343564149769177,-0.06879718773621536,-0.23154324603817106,-33.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.1238732189589997,823.0,10,2014,29.155762334011825,33.0,204.0,10/2014,0.8507634677372966,-0.07311904400974521,0.34785256393377384,-39.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.11879939872957378,925.0,11,2014,47.53915531203026,0.0,794.0,11/2014,0.7339259309019412,-0.03129677490736665,-0.1410485579408278,-40.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.11056809459498851,1138.0,12,2014,42.06056955199519,0.0,911.0,12/2014,0.5266920537280901,0.040507998971376205,-0.018605575708558617,-41.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.1109885497300938,1285.0,1,2015,52.09726384428414,0.0,1020.0,1/2015,0.40520567108504624,0.03671253040280577,-0.23260729410483388,-42.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.11601040226606986,1254.0,1,2016,52.70739276288441,0.0,1038.0,1/2016,0.4296259472215003,-0.007540290983831134,-0.24425058994839347,-54.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.12240198165421683,982.0,2,2016,47.083639741456054,0.0,664.0,2/2016,0.6741283600599004,-0.06117098912310491,-0.1314204532291827,-55.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.13076678639178038,720.0,4,2016,33.25982917505224,21.0,237.0,4/2016,0.9844684564042654,-0.12727590930042146,0.21615479818736547,-57.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.12847082301920829,1501.0,6,2016,33.696006754552606,397.0,1.0,6/2016,0.24983283678090445,-0.10956224952788106,0.2031257994840539,-59.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.11947264680724459,981.0,2,2018,38.45438655212168,0.0,905.0,2/2018,0.6751472088490034,-0.036947877350644885,0.07103236186617982,-79.0
kansas,0.11513893974531104,1927.0,7,2011,41.28524350054925,642.0,0.0,7/2011,kansas,0.12396617414738408,933.0,3,2018,39.29932162438435,7.0,595.0,3/2018,0.7253144675670224,-0.07386916844781777,0.04929787863103221,-80.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.11154165790554005,1507.0,4,2012,32.96186156418652,0.0,563.0,4/2012,0.43703407339493444,0.05617546152014901,0.2047450813176982,-9.0
minnesota,0.11798689938565442,2333.0,7,2011,40.451198177305834,276.0,7.0,7/2011,minnesota,0.11343372300376461,1724.0,4,2013,58.38121656429562,0.0,886.0,4/2013,0.3025078207977916,0.03935486807650863,-0.3668979396657842,-21.0
